Order_ID,Order_Date,Delivery_Date,Delivery_Status,Customer_ID,Customer_Type,State,City,Region,Product_ID,Product_Name,Category,Sub_Category,Brand,Quantity,Unit_Price,MRP,Discount_%,Net_sales,Cost_Price,Profit_Amount,Profit_Margin_%,Payment_Mode
OD100016,45572,45577,RETURNED,CUST9724,New,Tamil Nadu,Chennai,West,P589,Realme Mobiles Item,Electronics,Mobiles,Realme,4,974.59,1169.51,5,4444.138,779.67,1325.458,0.298248614,COD
OD100017,45506,45515,RETURNED,CUST8728,New,Delhi,Saket,South,P122,HP Laptops Item,Electronics,Laptops,HP,3,880.94,1057.12,0,3171.36,704.75,1057.11,0.33333018,UPI
OD100018,45339,45343,delivered,CUST1217,Returning,Karnataka,Mangalore,West,P317,H&M Women Item,Fashion,Women,H&M,3,1093.35,1312.02,30,2755.242,874.68,131.202,0.047619048,Debit Card
OD100019,45377,45385,delivered,CUST7634,Returning,Uttar Pradesh,Noida,North,P859,HP Laptops Item,Electronics,Laptops,HP,5,957.62,1149.14,10,5171.13,766.1,1340.63,0.259252813,Net Banking
OD100020,45314,45324,Delivered,CUST9099,new,Uttar Pradesh,Lucknow,North,P788,Dell Laptops Item,Electronics,Laptops,Dell,2,1016.4,1219.69,30,1707.566,813.12,81.326,0.047626856,Credit Card
OD100021,45563,45567,RETURNED,CUST5991,new,Karnataka,Mysuru,South,P892,Dell Laptops Item,Electronics,Laptops,Dell,2,1088.46,1306.15,5,2481.685,870.77,740.145,0.298242928,Debit Card
OD100022,45373,45374,Cancelled,CUST5235,new,Uttar Pradesh,Kanpur,West,P667,Nike Men Item,Fashion,Men,Nike,3,952.19,1142.63,25,2570.9175,761.75,285.6675,0.111115001,Debit Card
OD100023,45519,45526,delivered,CUST6837,RETURNING,West Bengal,Kolkata,East,P286,Prestige Kitchen Item,Home,Kitchen,Prestige,1,1047.91,1257.5,25,943.125,838.33,104.795,0.111114645,UPI
OD100024,45509,45511,Delivered,CUST5110,new,Tamil Nadu,Chennai,South,P134,Prestige Kitchen Item,Home,Kitchen,Prestige,4,1076.23,1291.47,10,4649.292,860.98,1205.372,0.259259259,Net Banking
OD100025,45544,45547,Delivered,CUST8821,new,West Bengal,Howrah,North,P792,HP Laptops Item,Electronics,Laptops,HP,2,1053.65,1264.38,10,2275.884,842.92,590.044,0.259259259,UPI
OD100026,45598,45606,RETURNED,CUST3000,Returning,Karnataka,Bengaluru,West,P590,Puma Men Item,Fashion,Men,Puma,3,1011.47,1213.77,20,2913.048,809.18,485.508,0.166666667,Debit Card
OD100027,45366,45369,Delivered,CUST6017,New,Karnataka,Mangalore,North,P648,Zara Women Item,Fashion,Women,Zara,4,965.13,1158.16,0,4632.64,772.11,1544.2,0.333330455,UPI
OD100028,45541,45551,RETURNED,CUST4163,new,West Bengal,Kolkata,North,P705,Dell Laptops Item,Electronics,Laptops,Dell,2,1050.33,1260.4,10,2268.72,840.27,588.18,0.259256321,Debit Card
OD100029,45496,45500,Returned,CUST7193,RETURNING,Tamil Nadu,Madurai,West,P641,Butterfly Kitchen Item,Home,Kitchen,Butterfly,1,973.02,1167.63,20,934.104,778.42,155.684,0.166666667,Debit Card
OD100030,45309,45318,Delivered,CUST4984,New,Delhi,Saket,East,P808,Butterfly Kitchen Item,Home,Kitchen,Butterfly,3,921.05,1105.26,20,2652.624,736.84,442.104,0.166666667,Net Banking
OD100031,45541,45545,delivered,CUST7085,Returning,Tamil Nadu,Chennai,West,P300,Nilkamal Furniture Item,Home,Furniture,Nilkamal,2,1027.54,1233.05,20,1972.88,822.03,328.82,0.166670046,Debit Card
OD100032,45452,45460,RETURNED,CUST7116,RETURNING,Maharashtra,Nashik,North,P638,Dell Laptops Item,Electronics,Laptops,Dell,5,894.65,1073.58,0,5367.9,715.72,1789.3,0.333333333,COD
OD100033,45307,45313,Returned,CUST5925,Returning,Maharashtra,Nagpur,South,P880,Apple Mobiles Item,Electronics,Mobiles,Apple,2,1023.5,1228.2,20,1965.12,818.8,327.52,0.166666667,Debit Card
OD100034,45502,45509,Delivered,CUST3611,New,Maharashtra,Nashik,North,P379,Lenovo Laptops Item,Electronics,Laptops,Lenovo,4,993.81,1192.57,10,4293.252,795.05,1113.052,0.259256154,UPI
OD100035,45425,45427,Returned,CUST1962,Returning,Delhi,Dwarka,North,P258,Nilkamal Furniture Item,Home,Furniture,Nilkamal,1,977.07,1172.48,10,1055.232,781.65,273.582,0.259262418,Credit Card
OD100036,45595,45602,Delivered,CUST7650,new,Karnataka,Mangalore,South,P876,Puma Men Item,Fashion,Men,Puma,1,953.44,1144.13,25,858.0975,762.75,95.3475,0.111114996,COD
OD100037,45387,45393,Delivered,CUST2215,Returning,Karnataka,Mysuru,East,P981,H&M Women Item,Fashion,Women,H&M,5,1007.48,1208.98,25,4533.675,805.98,503.775,0.111118463,UPI
OD100038,45510,45519,Delivered,CUST9344,New,Tamil Nadu,Madurai,West,P953,H&M Women Item,Fashion,Women,H&M,4,1019.13,1222.96,10,4402.656,815.31,1141.416,0.259256231,Debit Card
OD100039,45317,45318,Returned,CUST6788,new,Delhi,Dwarka,West,P239,Butterfly Kitchen Item,Home,Kitchen,Butterfly,4,1045.8,1254.96,20,4015.872,836.64,669.312,0.166666667,Net Banking
OD100040,45379,45381,Returned,CUST7397,Returning,Maharashtra,Pune,North,P673,Puma Men Item,Fashion,Men,Puma,5,1004.28,1205.13,20,4820.52,803.42,803.42,0.166666667,Credit Card
OD100041,45572,45575,delivered,CUST4361,RETURNING,Uttar Pradesh,Noida,West,P210,Nilkamal Furniture Item,Home,Furniture,Nilkamal,1,988.81,1186.58,20,949.264,791.05,158.214,0.166670178,Net Banking
OD100042,45417,45418,Delivered,CUST5429,new,Maharashtra,Mumbai,North,P373,HP Laptops Item,Electronics,Laptops,HP,5,1051.33,1261.6,30,4415.6,841.07,210.25,0.047615273,Debit Card
OD100043,45638,45643,RETURNED,CUST9334,Returning,Maharashtra,Mumbai,West,P570,Prestige Kitchen Item,Home,Kitchen,Prestige,3,988.73,1186.48,25,2669.58,790.98,296.64,0.111118603,Debit Card
OD100044,45473,45480,Returned,CUST8805,new,Karnataka,Mangalore,West,P536,Dell Laptops Item,Electronics,Laptops,Dell,4,893.91,1072.7,15,3647.18,715.13,786.66,0.21568993,Net Banking
OD100045,45354,45357,Returned,CUST9409,New,Delhi,Rohini,South,P651,Nike Men Item,Fashion,Men,Nike,4,974.04,1168.84,30,3272.752,779.23,155.832,0.047614974,COD
OD100046,45514,45523,delivered,CUST5993,Returning,Tamil Nadu,Coimbatore,East,P851,Lenovo Laptops Item,Electronics,Laptops,Lenovo,5,1024.15,1228.98,30,4301.43,819.32,204.83,0.047619048,Net Banking
OD100047,45333,45342,Cancelled,CUST6928,Returning,Karnataka,Bengaluru,East,P646,Zara Women Item,Fashion,Women,Zara,4,934.78,1121.74,0,4486.96,747.83,1495.64,0.333330362,Credit Card
OD100048,45479,45482,Returned,CUST5438,new,West Bengal,Howrah,North,P587,Lenovo Laptops Item,Electronics,Laptops,Lenovo,2,988.31,1185.97,25,1778.955,790.65,197.655,0.111107364,UPI
OD100049,45506,45512,Delivered,CUST9507,RETURNING,Maharashtra,Nashik,West,P777,Puma Men Item,Fashion,Men,Puma,1,958.8,1150.56,10,1035.504,767.04,268.464,0.259259259,Debit Card
OD100050,45654,45661,Returned,CUST6266,New,Maharashtra,Nashik,North,P516,Realme Mobiles Item,Electronics,Mobiles,Realme,4,982.26,1178.71,30,3300.388,785.8,157.188,0.047627127,Debit Card
OD100051,45602,45609,Delivered,CUST5897,RETURNING,Uttar Pradesh,Varanasi,West,P148,Asus Laptops Item,Electronics,Laptops,Asus,2,946.45,1135.74,25,1703.61,757.16,189.29,0.111111111,UPI
OD100052,45367,45375,Delivered,CUST5077,New,Tamil Nadu,Chennai,West,P666,Dell Laptops Item,Electronics,Laptops,Dell,4,1036.38,1243.66,30,3482.248,829.1,165.848,0.047626706,UPI
OD100053,45605,45608,Delivered,CUST1020,RETURNING,Delhi,Saket,South,P373,Samsung Mobiles Item,Electronics,Mobiles,Samsung,3,988.73,1186.48,5,3381.468,790.98,1008.528,0.298251529,Credit Card
OD100054,45513,45515,Delivered,CUST7164,Returning,Uttar Pradesh,Kanpur,East,P599,Biba Women Item,Fashion,Women,Biba,3,980.4,1176.48,30,2470.608,784.32,117.648,0.047619048,Net Banking
OD100055,45306,45307,Cancelled,CUST8264,new,Delhi,Saket,South,P451,Dell Laptops Item,Electronics,Laptops,Dell,4,1025.33,1230.39,15,4183.326,820.26,902.286,0.215686275,Credit Card
OD100056,45465,45473,Delivered,CUST6777,Returning,Uttar Pradesh,Noida,West,P480,Puma Men Item,Fashion,Men,Puma,1,957.37,1148.85,20,919.08,765.9,153.18,0.166666667,COD
OD100057,45561,45571,Delivered,CUST9530,New,West Bengal,Kolkata,West,P150,Prestige Kitchen Item,Home,Kitchen,Prestige,4,1046.64,1255.97,20,4019.104,837.31,669.864,0.166669984,Credit Card
OD100058,45540,45542,delivered,CUST7159,new,Uttar Pradesh,Lucknow,East,P950,Ikea Furniture Item,Home,Furniture,Ikea,1,886.63,1063.96,10,957.564,709.31,248.254,0.259255778,Net Banking
OD100059,45386,45396,RETURNED,CUST8661,Returning,Delhi,Saket,South,P459,Redmi Mobiles Item,Electronics,Mobiles,Redmi,4,1014.73,1217.67,25,3653.01,811.78,405.89,0.111111111,Credit Card
OD100060,45562,45567,RETURNED,CUST9282,new,West Bengal,Durgapur,East,P900,HP Laptops Item,Electronics,Laptops,HP,4,970.98,1165.18,30,3262.504,776.79,155.344,0.047614961,COD
OD100061,45298,45300,Returned,CUST4465,New,Tamil Nadu,Coimbatore,South,P363,HP Laptops Item,Electronics,Laptops,HP,4,954.51,1145.41,5,4352.558,763.61,1298.118,0.298242551,UPI
OD100062,45333,45342,Cancelled,CUST6630,New,Uttar Pradesh,Noida,North,P726,H&M Women Item,Fashion,Women,H&M,2,995.74,1194.88,25,1792.32,796.59,199.14,0.111107392,UPI
OD100063,45538,45547,delivered,CUST4110,New,Maharashtra,Mumbai,North,P779,Lenovo Laptops Item,Electronics,Laptops,Lenovo,5,952.04,1142.45,10,5141.025,761.63,1332.875,0.259262501,UPI
OD100064,45490,45496,RETURNED,CUST1600,RETURNING,Maharashtra,Mumbai,North,P854,Nilkamal Furniture Item,Home,Furniture,Nilkamal,4,1112.49,1334.98,10,4805.928,889.99,1245.968,0.259256485,Debit Card
OD100065,45492,45497,Cancelled,CUST4548,Returning,Delhi,Dwarka,West,P112,Biba Women Item,Fashion,Women,Biba,4,965.39,1158.46,0,4633.84,772.31,1544.6,0.333330456,Credit Card
OD100066,45387,45395,Delivered,CUST1348,new,Karnataka,Mysuru,East,P864,Realme Mobiles Item,Electronics,Mobiles,Realme,5,1087.1,1304.52,30,4565.82,869.68,217.42,0.047619048,Credit Card
OD100067,45574,45581,RETURNED,CUST1622,New,Tamil Nadu,Madurai,East,P265,Lenovo Laptops Item,Electronics,Laptops,Lenovo,1,1036.21,1243.45,15,1056.9325,828.97,227.9625,0.215683121,UPI
OD100068,45345,45348,Delivered,CUST4857,Returning,Tamil Nadu,Chennai,South,P812,H&M Women Item,Fashion,Women,H&M,3,1082.07,1298.49,10,3505.923,865.66,908.943,0.259259259,Debit Card
OD100069,45550,45552,Delivered,CUST2717,New,Delhi,Dwarka,North,P962,Nilkamal Furniture Item,Home,Furniture,Nilkamal,4,1000.6,1200.72,10,4322.592,800.48,1120.672,0.259259259,Debit Card
OD100070,45460,45468,Delivered,CUST9651,new,Tamil Nadu,Madurai,West,P436,Puma Men Item,Fashion,Men,Puma,1,1029.05,1234.86,15,1049.631,823.24,226.391,0.215686275,UPI
OD100071,45538,45547,Delivered,CUST1243,new,Uttar Pradesh,Kanpur,South,P288,Nike Men Item,Fashion,Men,Nike,3,1136.06,1363.28,5,3885.348,908.85,1158.798,0.298248188,COD
OD100072,45637,45646,delivered,CUST9683,new,Delhi,Dwarka,East,P950,H&M Women Item,Fashion,Women,H&M,3,1018.2,1221.84,10,3298.968,814.56,855.288,0.259259259,UPI
OD100073,45490,45491,RETURNED,CUST4197,RETURNING,Tamil Nadu,Madurai,South,P125,Butterfly Kitchen Item,Home,Kitchen,Butterfly,1,949.85,1139.82,30,797.874,759.88,37.994,0.047619048,Net Banking
OD100074,45617,45620,Returned,CUST5871,new,Karnataka,Bengaluru,West,P474,Apple Mobiles Item,Electronics,Mobiles,Apple,2,1046.19,1255.42,15,2134.214,836.95,460.314,0.215683151,Credit Card
OD100075,45358,45363,Returned,CUST2721,RETURNING,Maharashtra,Mumbai,South,P548,Adidas Men Item,Fashion,Men,Adidas,1,1069.21,1283.05,20,1026.44,855.37,171.07,0.166663419,Credit Card
OD100076,45602,45606,Returned,CUST2906,Returning,Delhi,New Delhi,North,P383,Zara Women Item,Fashion,Women,Zara,4,1013.64,1216.36,10,4378.896,810.91,1135.256,0.259256214,Debit Card
OD100077,45357,45358,Delivered,CUST4919,New,West Bengal,Kolkata,West,P952,Adidas Men Item,Fashion,Men,Adidas,5,975.83,1171,5,5562.25,780.67,1658.9,0.298242618,UPI
OD100078,45501,45502,Delivered,CUST4551,Returning,West Bengal,Kolkata,West,P427,Biba Women Item,Fashion,Women,Biba,5,985.66,1182.8,5,5618.3,788.53,1675.65,0.298248581,Credit Card
OD100079,45338,45343,Cancelled,CUST9497,Returning,Delhi,Dwarka,West,P345,Nilkamal Furniture Item,Home,Furniture,Nilkamal,3,1063.42,1276.1,0,3828.3,850.74,1276.08,0.333328109,Credit Card
OD100080,45445,45450,delivered,CUST5133,new,Delhi,New Delhi,North,P980,Prestige Kitchen Item,Home,Kitchen,Prestige,4,942.36,1130.83,15,3844.822,753.89,829.262,0.215682807,COD
OD100081,45503,45505,Cancelled,CUST3021,New,Tamil Nadu,Madurai,North,P474,Lenovo Laptops Item,Electronics,Laptops,Lenovo,3,950.76,1140.92,20,2738.208,760.61,456.378,0.166670319,Debit Card
OD100082,45401,45405,Delivered,CUST4922,RETURNING,Tamil Nadu,Coimbatore,North,P451,Dell Laptops Item,Electronics,Laptops,Dell,1,1033.57,1240.29,20,992.232,826.86,165.372,0.166666667,Credit Card
OD100083,45323,45326,RETURNED,CUST7790,Returning,Delhi,New Delhi,West,P766,Zara Women Item,Fashion,Women,Zara,2,1029.21,1235.05,5,2346.595,823.37,699.855,0.298242773,Debit Card
OD100084,45387,45389,Returned,CUST9529,Returning,Delhi,Dwarka,South,P430,Nilkamal Furniture Item,Home,Furniture,Nilkamal,3,1034.93,1241.92,25,2794.32,827.95,310.47,0.111107532,Debit Card
OD100085,45359,45369,delivered,CUST1108,New,West Bengal,Durgapur,South,P591,Ikea Furniture Item,Home,Furniture,Ikea,5,995.05,1194.07,10,5373.315,796.04,1393.115,0.259265463,COD
OD100086,45568,45578,RETURNED,CUST8559,Returning,Maharashtra,Nashik,South,P685,HP Laptops Item,Electronics,Laptops,HP,5,1009.22,1211.07,20,4844.28,807.38,807.38,0.166666667,Debit Card
OD100087,45512,45522,Returned,CUST8809,RETURNING,Delhi,Rohini,South,P102,Redmi Mobiles Item,Electronics,Mobiles,Redmi,5,1067.93,1281.51,10,5766.795,854.34,1495.095,0.259259259,COD
OD100088,45547,45555,Cancelled,CUST7096,new,Karnataka,Mysuru,North,P689,Ikea Furniture Item,Home,Furniture,Ikea,3,961.54,1153.85,25,2596.1625,769.23,288.4725,0.111114963,COD
OD100089,45553,45560,Cancelled,CUST9101,RETURNING,Delhi,Saket,North,P729,Redmi Mobiles Item,Electronics,Mobiles,Redmi,4,979.91,1175.89,5,4468.382,783.93,1332.662,0.29824263,COD
OD100090,45639,45649,delivered,CUST7621,Returning,West Bengal,Kolkata,West,P367,Apple Mobiles Item,Electronics,Mobiles,Apple,2,1020.41,1224.49,25,1836.735,816.33,204.075,0.111107481,COD
OD100091,45487,45489,delivered,CUST2731,New,Karnataka,Bengaluru,South,P552,Biba Women Item,Fashion,Women,Biba,5,999.38,1199.25,10,5396.625,799.5,1399.125,0.259259259,COD
OD100092,45401,45406,Delivered,CUST2511,New,Tamil Nadu,Madurai,South,P795,Samsung Mobiles Item,Electronics,Mobiles,Samsung,1,996.16,1195.4,5,1135.63,796.93,338.7,0.298248549,UPI
OD100093,45630,45631,Returned,CUST4516,RETURNING,Uttar Pradesh,Noida,North,P756,Ikea Furniture Item,Home,Furniture,Ikea,3,992.85,1191.42,0,3574.26,794.28,1191.42,0.333333333,UPI
OD100094,45434,45435,Delivered,CUST9345,RETURNING,Maharashtra,Mumbai,North,P409,Nilkamal Furniture Item,Home,Furniture,Nilkamal,2,1004.69,1205.63,30,1687.882,803.75,80.382,0.047622997,UPI
OD100095,45311,45314,Cancelled,CUST2479,New,Uttar Pradesh,Kanpur,East,P725,HP Laptops Item,Electronics,Laptops,HP,1,1018.31,1221.97,20,977.576,814.65,162.926,0.166663257,COD
OD100096,45433,45441,Cancelled,CUST8098,New,Delhi,New Delhi,North,P646,Lenovo Laptops Item,Electronics,Laptops,Lenovo,2,1077.46,1292.95,0,2585.9,861.97,861.96,0.333330755,COD
OD100097,45632,45635,delivered,CUST5586,RETURNING,Karnataka,Bengaluru,East,P363,Apple Mobiles Item,Electronics,Mobiles,Apple,5,1015.5,1218.6,25,4569.75,812.4,507.75,0.111111111,Credit Card
OD100098,45427,45436,Returned,CUST1795,new,West Bengal,Howrah,West,P468,Dell Laptops Item,Electronics,Laptops,Dell,2,949.47,1139.37,25,1709.055,759.58,189.895,0.111111111,Credit Card
OD100099,45569,45574,delivered,CUST8161,Returning,Maharashtra,Nashik,North,P398,Apple Mobiles Item,Electronics,Mobiles,Apple,3,1007.96,1209.55,15,3084.3525,806.36,665.2725,0.215692759,UPI
OD100100,45608,45612,delivered,CUST7252,Returning,West Bengal,Durgapur,East,P834,Biba Women Item,Fashion,Women,Biba,3,1064.86,1277.83,15,3258.4665,851.89,702.7965,0.215683206,UPI
OD100101,45389,45391,Delivered,CUST3465,Returning,Tamil Nadu,Madurai,South,P712,Zara Women Item,Fashion,Women,Zara,2,974.62,1169.54,0,2339.08,779.69,779.7,0.333336183,Credit Card
OD100102,45300,45303,Cancelled,CUST3021,RETURNING,Maharashtra,Nashik,East,P171,Lenovo Laptops Item,Electronics,Laptops,Lenovo,1,967.75,1161.3,20,929.04,774.2,154.84,0.166666667,Net Banking
OD100103,45545,45554,delivered,CUST1169,new,Maharashtra,Pune,West,P593,Butterfly Kitchen Item,Home,Kitchen,Butterfly,2,985.71,1182.85,5,2247.415,788.57,670.275,0.298242648,UPI
OD100104,45545,45547,Returned,CUST3043,RETURNING,Delhi,Dwarka,East,P466,Nilkamal Furniture Item,Home,Furniture,Nilkamal,2,1068.9,1282.68,25,1924.02,855.12,213.78,0.111111111,Net Banking
OD100105,45539,45546,Delivered,CUST2412,Returning,Uttar Pradesh,Noida,South,P481,Ikea Furniture Item,Home,Furniture,Ikea,4,1016.74,1220.09,10,4392.324,813.4,1138.724,0.259253188,COD
OD100106,45530,45538,Cancelled,CUST7174,Returning,Karnataka,Bengaluru,South,P880,Ikea Furniture Item,Home,Furniture,Ikea,2,1060.55,1272.66,25,1908.99,848.44,212.11,0.111111111,Debit Card
OD100107,45474,45475,RETURNED,CUST8700,RETURNING,Delhi,Rohini,South,P803,Samsung Mobiles Item,Electronics,Mobiles,Samsung,4,997.21,1196.65,10,4307.94,797.77,1116.86,0.259256164,Debit Card
OD100108,45301,45303,RETURNED,CUST1743,new,Tamil Nadu,Chennai,North,P753,Dell Laptops Item,Electronics,Laptops,Dell,4,903.7,1084.44,15,3687.096,722.96,795.256,0.215686275,Debit Card
OD100109,45400,45402,delivered,CUST8750,RETURNING,Uttar Pradesh,Kanpur,East,P692,Puma Men Item,Fashion,Men,Puma,5,1026.71,1232.06,0,6160.3,821.37,2053.45,0.333336039,Net Banking
OD100110,45436,45442,Delivered,CUST3628,Returning,Karnataka,Mangalore,South,P982,Nike Men Item,Fashion,Men,Nike,2,914.21,1097.05,25,1645.575,731.37,182.835,0.11110706,Debit Card
OD100111,45324,45330,delivered,CUST2750,new,Karnataka,Mysuru,South,P339,Ikea Furniture Item,Home,Furniture,Ikea,4,1094.12,1312.94,30,3676.232,875.3,175.032,0.047611794,Net Banking
OD100112,45298,45304,Returned,CUST7103,RETURNING,Delhi,New Delhi,South,P396,Butterfly Kitchen Item,Home,Kitchen,Butterfly,4,987.07,1184.48,20,3790.336,789.66,631.696,0.166659631,Credit Card
OD100113,45575,45584,delivered,CUST5678,new,Delhi,Saket,South,P550,Lenovo Laptops Item,Electronics,Laptops,Lenovo,4,1037.44,1244.93,15,4232.762,829.95,912.962,0.215689425,Credit Card
OD100114,45635,45638,delivered,CUST3634,RETURNING,Maharashtra,Nashik,East,P259,Prestige Kitchen Item,Home,Kitchen,Prestige,3,956.81,1148.18,5,3272.313,765.45,975.963,0.29824867,UPI
OD100115,45646,45654,delivered,CUST6763,RETURNING,Tamil Nadu,Madurai,West,P569,Nike Men Item,Fashion,Men,Nike,4,1080.79,1296.95,30,3631.46,864.63,172.94,0.047622719,Debit Card
OD100116,45550,45556,Delivered,CUST7584,RETURNING,Tamil Nadu,Madurai,East,P988,Adidas Men Item,Fashion,Men,Adidas,5,987.54,1185.05,20,4740.2,790.03,790.05,0.166670183,Credit Card
OD100117,45578,45581,delivered,CUST3889,new,Uttar Pradesh,Lucknow,West,P124,Lenovo Laptops Item,Electronics,Laptops,Lenovo,1,1008.59,1210.3,20,968.24,806.87,161.37,0.166663224,UPI
OD100118,45332,45336,Cancelled,CUST3968,Returning,Uttar Pradesh,Noida,South,P932,Biba Women Item,Fashion,Women,Biba,4,1008.33,1210,30,3388,806.66,161.36,0.047626919,COD
OD100119,45544,45548,RETURNED,CUST4496,RETURNING,Karnataka,Mangalore,West,P942,Realme Mobiles Item,Electronics,Mobiles,Realme,4,933.3,1119.96,20,3583.872,746.64,597.312,0.166666667,Debit Card
OD100120,45455,45465,Returned,CUST8396,RETURNING,Maharashtra,Pune,East,P458,Nilkamal Furniture Item,Home,Furniture,Nilkamal,3,1063.37,1276.04,10,3445.308,850.69,893.238,0.259262162,Debit Card
OD100121,45376,45379,Delivered,CUST3543,New,Delhi,Dwarka,East,P946,Apple Mobiles Item,Electronics,Mobiles,Apple,5,1067.93,1281.52,10,5766.84,854.34,1495.14,0.259265039,Net Banking
OD100122,45331,45333,Delivered,CUST5692,New,Maharashtra,Nashik,South,P845,HP Laptops Item,Electronics,Laptops,HP,3,914.77,1097.72,30,2305.212,731.81,109.782,0.047623386,Net Banking
OD100123,45592,45595,Returned,CUST1233,New,Tamil Nadu,Coimbatore,East,P736,Butterfly Kitchen Item,Home,Kitchen,Butterfly,4,1013.9,1216.68,25,3650.04,811.12,405.56,0.111111111,Net Banking
OD100124,45348,45354,delivered,CUST2388,RETURNING,Tamil Nadu,Coimbatore,South,P835,Prestige Kitchen Item,Home,Kitchen,Prestige,5,971.09,1165.31,30,4078.585,776.87,194.235,0.047623134,Debit Card
OD100125,45343,45344,delivered,CUST7941,New,West Bengal,Kolkata,West,P542,Ikea Furniture Item,Home,Furniture,Ikea,1,993.32,1191.99,20,953.592,794.66,158.932,0.166666667,UPI
OD100126,45621,45628,Delivered,CUST6401,RETURNING,West Bengal,Durgapur,South,P897,Asus Laptops Item,Electronics,Laptops,Asus,5,992.14,1190.56,5,5655.16,793.71,1686.61,0.298242667,Credit Card
OD100127,45481,45489,Delivered,CUST9341,new,West Bengal,Durgapur,North,P840,Zara Women Item,Fashion,Women,Zara,5,1042.2,1250.63,5,5940.4925,833.76,1771.6925,0.298240003,Net Banking
OD100128,45349,45354,Delivered,CUST7950,Returning,Tamil Nadu,Madurai,East,P117,Nilkamal Furniture Item,Home,Furniture,Nilkamal,5,1023.41,1228.1,30,4298.35,818.73,204.7,0.047622925,Credit Card
OD100129,45423,45424,RETURNED,CUST6523,New,Tamil Nadu,Chennai,West,P125,Asus Laptops Item,Electronics,Laptops,Asus,4,1016.43,1219.71,0,4878.84,813.14,1626.28,0.333333333,COD
